Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Cluster,PCA1,PCA2
154,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,17.0,2007.0,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.0,0.0,0.0,0.0,0.0,0.69,0.14,0.82,0.69,0.82,1,0.2138688546958542,-4.703973811425728
155,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,29.0,1995.0,15,1,133,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.5,6,4,20,0.0,0.0,0.0,0.0,0.0,0.22,0.1,0.32,0.22,0.32,1,-1.4073769260402678,-1.6990922400785151
156,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,21.0,2003.0,25,21,1755,19.5,5,3,8,5,0,0,3,0,3.8,3.8,2.8,6.6,52,102,143,0.26,0.15,0.41,0.26,0.41,0.19,0.14,0.34,0.19,0.34,2,2.755910194955328,0.5814338911872525
157,Marko Arnautović,at AUT,FW,Inter,it Serie A,35.0,1989.0,18,5,549,6.1,4,2,6,4,0,0,1,0,3.3,3.3,1.2,4.4,4,16,61,0.66,0.33,0.98,0.66,0.98,0.53,0.19,0.73,0.53,0.73,0,4.401558742149308,-4.377588302202031
158,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,30.0,1994.0,28,27,2356,26.2,3,5,8,3,0,0,7,1,0.9,0.9,3.5,4.3,9,128,16,0.11,0.19,0.31,0.11,0.31,0.03,0.13,0.17,0.03,0.17,2,1.0875438725817526,2.19463111283826
159,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,de Bundesliga,24.0,2000.0,23,3,713,7.9,2,0,2,1,1,2,8,1,3.8,2.2,1.0,3.2,14,21,66,0.25,0.0,0.25,0.13,0.13,0.47,0.13,0.6,0.27,0.4,0,0.9892502542019928,-2.0936889584333027
160,Sergio Arribas,es ESP,DF,Betis,es La Liga,21.0,2003.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-3.2877669819804844,-1.134543354558063
161,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29.0,1994.0,31,31,2790,31.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-0.8416145319715505,2.8308442926140454
162,Arthur,br BRA,DF,Leverkusen,de Bundesliga,21.0,2003.0,20,7,752,8.4,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.4,15,25,53,0.0,0.12,0.12,0.0,0.12,0.01,0.04,0.05,0.01,0.05,1,-1.470998671953719,0.12568410369216124
163,Takuma Asano,jp JPN,"FW,MF",Mallorca,es La Liga,29.0,1994.0,21,13,1054,11.7,2,1,3,2,0,0,0,0,2.7,2.7,0.7,3.4,28,20,76,0.17,0.09,0.26,0.17,0.26,0.23,0.06,0.29,0.23,0.29,1,0.7227567175491928,-0.5327889470630687
